"","Player","Start","End","Matches","Innings","NotOuts","Runs","HighScore","HighScoreNotOut","Average","BallsFaced","StrikeRate","Hundreds","Fifties","Ducks"
"1","SR Tendulkar ",1989,2012,463,452,41,18426,200,TRUE,44.8321167883212,21368,86.2317484088356,49,96,20
"2","KC Sangakkara ",2000,2015,404,380,41,14234,169,FALSE,41.9882005899705,18048,78.8674645390071,25,93,15
"3","RT Ponting ",1995,2012,375,365,39,13704,164,FALSE,42.0368098159509,17046,80.3942273847237,30,82,20
"4","ST Jayasuriya ",1989,2011,445,433,18,13430,189,FALSE,32.3614457831325,14725,91.2054329371817,28,68,34
"5","DPMD Jayawardene ",1998,2015,448,418,39,12650,144,FALSE,33.377308707124,16020,78.9637952559301,19,77,28
"6","V Kohli ",2008,2020,248,239,39,11867,183,FALSE,59.335,12726,93.2500392896433,43,58,13
"7","Inzamam-ul-Haq ",1991,2007,378,350,53,11739,137,TRUE,39.5252525252525,15812,74.2410827219833,10,83,20
"8","JH Kallis ",1996,2014,328,314,53,11579,139,FALSE,44.3639846743295,15885,72.892666037142,17,86,17
"9","SC Ganguly ",1992,2007,311,300,23,11363,183,FALSE,41.0216606498195,15416,73.7091333679294,22,72,16
"10","R Dravid ",1996,2011,344,318,40,10889,153,FALSE,39.1690647482014,15285,71.239777559699,12,83,13
"11","MS Dhoni ",2004,2019,350,297,84,10773,183,TRUE,50.5774647887324,12303,87.5640087783467,10,73,10
"12","CH Gayle ",1999,2019,301,294,17,10480,215,FALSE,37.8339350180505,12019,87.1952741492637,25,54,25
"13","BC Lara ",1990,2007,299,289,32,10405,169,FALSE,40.4863813229572,13086,79.5124560599114,19,63,16
"14","TM Dilshan ",1999,2016,330,303,41,10290,161,TRUE,39.2748091603053,11933,86.2314589793011,22,47,11
"15","Mohammad Yousuf ",1998,2010,288,273,40,9720,141,TRUE,41.7167381974249,12942,75.1043115438109,15,64,15
"16","AC Gilchrist ",1996,2008,287,279,11,9619,172,FALSE,35.8917910447761,9922,96.9461802056037,16,55,19
"17","AB de Villiers ",2005,2018,228,218,39,9577,176,FALSE,53.5027932960894,9473,101.097857067455,25,53,7
"18","M Azharuddin ",1985,2000,334,308,54,9378,153,TRUE,36.9212598425197,12669,74.02320625148,7,58,9
