"","Player","Innings","Runs","BallsFaced","Hundreds"
"1","SR Tendulkar ",452,18426,21368,49
"2","KC Sangakkara ",380,14234,18048,25
"3","RT Ponting ",365,13704,17046,30
"4","ST Jayasuriya ",433,13430,14725,28
"5","DPMD Jayawardene ",418,12650,16020,19
"6","V Kohli ",239,11867,12726,43
"7","Inzamam-ul-Haq ",350,11739,15812,10
"8","JH Kallis ",314,11579,15885,17
"9","SC Ganguly ",300,11363,15416,22
"10","R Dravid ",318,10889,15285,12
"11","MS Dhoni ",297,10773,12303,10
"12","CH Gayle ",294,10480,12019,25
"13","BC Lara ",289,10405,13086,19
"14","TM Dilshan ",303,10290,11933,22
"15","Mohammad Yousuf ",273,9720,12942,15
"16","AC Gilchrist ",279,9619,9922,16
"17","AB de Villiers ",218,9577,9473,25
"18","M Azharuddin ",308,9378,12669,7
"19","PA de Silva ",296,9284,11443,11
"20","RG Sharma ",217,9115,10250,29
"21","Saeed Anwar ",244,8824,10938,20
"22","S Chanderpaul ",251,8778,12408,11
"23","Yuvraj Singh ",278,8701,9924,14
"24","DL Haynes ",237,8648,13707,17
"25","LRPL Taylor ",216,8574,10273,21
"26","MS Atapattu ",259,8529,12594,11
"27","ME Waugh ",236,8500,11053,18
"28","V Sehwag ",245,8273,7929,15
"29","HM Amla ",178,8113,9178,27
"30","HH Gibbs ",240,8094,9721,21
"31","Shahid Afridi ",369,8064,6892,6
"32","SP Fleming ",269,8037,11242,8
"33","MJ Clarke ",223,7981,10104,8
"34","SR Waugh ",288,7569,9971,3
"35","Shoaib Malik ",258,7534,9199,9
"36","A Ranatunga ",255,7456,9571,4
"37","Javed Miandad ",218,7381,11014,8
"38","EJG Morgan ",219,7368,8085,13
"39","Younis Khan ",255,7249,9628,7
"40","Tamim Iqbal ",205,7202,9153,13
"41","Saleem Malik ",256,7170,9383,5
"42","NJ Astle ",217,7090,9760,16
"43","GC Smith ",194,6989,8648,10
"44","WU Tharanga ",223,6951,9155,15
"45","MG Bevan ",196,6912,9320,6
"46","MJ Guptill ",180,6843,7825,16
"47","G Kirsten ",185,6798,9436,13
"48","A Flower ",208,6786,9097,4
"49","IVA Richards ",167,6721,7451,11
"50","Mohammad Hafeez ",216,6614,8633,11
"51","GW Flower ",214,6571,9723,6
"52","Ijaz Ahmed ",232,6564,8174,10
"53","AR Border ",252,6524,9134,3
"54","BRM Taylor ",195,6326,8307,10
"55","Shakib Al Hasan ",194,6323,7641,9
"56","RB Richardson ",217,6248,9801,5
"57","Mushfiqur Rahim ",204,6174,7794,7
"58","KS Williamson ",144,6173,7551,13
"59","ML Hayden ",155,6133,7767,10
"60","BB McCullum ",228,6083,6312,5
"61","DM Jones ",161,6068,8362,7
"62","DC Boon ",177,5964,9157,5
"63","JN Rhodes ",220,5935,7336,2
"64","JE Root ",137,5922,6775,16
"65","Ramiz Raja ",197,5841,9226,9
"66","AD Mathews ",187,5830,6997,3
"67","RR Sarwan ",169,5804,7663,5
"68","CL Hooper ",206,5761,7517,7
"69","SR Watson ",169,5757,6365,9
"70","S Dhawan ",133,5688,6050,17
"71","H Masakadza ",208,5658,7728,5
"72","SK Raina ",194,5615,6005,5
"73","MN Samuels ",196,5606,7463,10
"74","WJ Cronje ",175,5565,7277,2
"75","F du Plessis ",136,5507,6215,12
"76","MEK Hussey ",157,5442,6243,3
"77","IR Bell ",157,5416,7019,4
"78","A Jadeja ",179,5359,7678,6
"79","DR Martyn ",182,5346,6877,5
"80","DA Warner ",121,5267,5500,18
"81","G Gambhir ",143,5238,6144,11
"82","ADR Campbell ",184,5185,7834,7
"83","RS Mahanama ",198,5162,8521,4
"84","Q de Kock ",121,5135,5414,15
"85","CG Greenidge ",127,5134,7908,11
"86","Misbah-ul-Haq ",149,5122,6945,0
"87","JP Duminy ",179,5117,6052,4
"88","PD Collingwood ",181,5092,6614,5
"89","A Symonds ",161,5088,5504,6
"90","Abdul Razzaq ",228,5080,6252,3
"91","CL Cairns ",193,4950,5874,4
"92","AJ Finch ",122,4882,5503,16
"93","Aamer Sohail ",155,4780,7297,5
"94","CD McMillan ",183,4707,6198,3
"95","MD Crowe ",140,4704,6476,4
"96","MV Boucher ",221,4686,5528,1
"97","AJ Stewart ",162,4677,6841,4
"98","SB Styris ",161,4483,5645,4
"99","KP Pietersen ",125,4440,5128,9
"100","NS Sidhu ",127,4413,6329,6
"101","CZ Harris ",213,4379,6583,1
"102","GR Marsh ",115,4357,7790,9
"103","E Chigumbura ",198,4340,5423,2
"104","ME Trescothick ",122,4335,5087,12
"105","GA Gooch ",122,4290,6932,8
"106","AJ Strauss ",126,4205,5195,6
"107","SPD Smith ",110,4162,4802,9
"108","PR Stirling ",114,4121,4750,8
"109","WTS Porterfield ",136,4091,5916,11
"110","K Srikkanth ",145,4091,5702,4
"111","Mahmudullah ",163,4070,5311,3
"112","AJ Lamb ",118,4010,5308,4
"113","RP Arnold ",155,3950,5443,1
"114","AP Gurusinha ",143,3902,6409,2
"115","JG Wright ",148,3891,6804,1
"116","DJ Cullinan ",133,3860,5492,3
"117","GA Hick ",118,3846,5191,5
"118","JC Buttler ",117,3843,3207,9
"119","HP Tillakaratne ",168,3789,6588,2
"120","N Kapil Dev ",198,3783,3979,1
"121","SC Williams ",129,3761,4606,3
"122","Wasim Akram ",280,3717,4208,0
"123","RS Kaluwitharana ",181,3711,4776,2
"124","Imran Khan ",151,3709,5105,1
"125","PV Simmons ",138,3675,5407,5
"126","NV Knight ",100,3637,5085,5
"127","LD Chandimal ",132,3599,4855,4
"128","L Klusener ",137,3576,3977,2
"129","KJ O'Brien ",133,3546,3981,2
"130","SM Pollock ",205,3519,4059,1
"131","MA Taylor ",110,3514,5908,1
