"Player","Start","End","Matches","Innings","Balls","Runs","Wickets","Average","Economy","StrikeRate","BestBowlingInnings","FourWickets","FiveWickets"
"M Muralitharan ",1993,2011,350,341,18811,12326,534,23.0823970037453,3.93152942427303,35.2265917602996,"7/30",15,10
"Wasim Akram ",1984,2003,356,351,18186,11812,502,23.5298804780876,3.89706367535467,36.2270916334661,"5/15",17,6
"Waqar Younis ",1989,2003,262,258,12698,9919,416,23.84375,4.68687982359427,30.5240384615385,"7/36",14,13
"WPUJC Vaas ",1994,2008,322,320,15775,11014,400,27.535,4.18916006339144,39.4375,"8/19",9,4
"Shahid Afridi ",1996,2015,398,372,17670,13632,395,34.5113924050633,4.62886247877759,44.7341772151899,"7/12",4,9
"SM Pollock ",1996,2008,303,297,15712,9631,393,24.5063613231552,3.67782586558045,39.9796437659033,"6/35",12,5
"GD McGrath ",1993,2007,250,248,12970,8391,381,22.0236220472441,3.88172706245181,34.0419947506562,"7/15",9,7
"B Lee ",2000,2012,221,217,11185,8877,380,23.3605263157895,4.76191327670988,29.4342105263158,"5/22",14,9
"SL Malinga ",2004,2019,226,220,10936,9760,338,28.8757396449704,5.35479151426481,32.3550295857988,"6/38",11,8
"A Kumble ",1990,2007,271,265,14496,10412,337,30.8961424332344,4.30960264900662,43.0148367952522,"6/12",8,2
"ST Jayasuriya ",1989,2011,445,368,14874,11871,323,36.7523219814241,4.78862444534086,46.0495356037152,"6/29",8,4
"J Srinath ",1991,2003,229,227,11935,8847,315,28.0857142857143,4.44759111855886,37.8888888888889,"5/23",7,3
"DL Vettori ",1997,2015,295,277,14060,9674,305,31.7180327868852,4.12830725462304,46.0983606557377,"5/7",8,2
"SK Warne ",1993,2005,194,191,10642,7541,293,25.7372013651877,4.25164442773915,36.320819112628,"5/33",12,1
"AB Agarkar ",1998,2007,191,188,9484,8021,288,27.8506944444444,5.07444116406579,32.9305555555556,"6/42",10,2
"Saqlain Mushtaq ",1995,2003,169,165,8770,6275,288,21.7881944444444,4.29304446978335,30.4513888888889,"5/20",11,6
"Z Khan ",2000,2012,200,197,10097,8301,282,29.436170212766,4.93275230266416,35.8049645390071,"5/42",7,1
"JH Kallis ",1996,2014,328,283,10750,8680,273,31.7948717948718,4.8446511627907,39.3772893772894,"5/30",2,2
"AA Donald ",1991,2003,164,162,8561,5926,272,21.7867647058824,4.15325312463497,31.4742647058824,"6/23",11,2
"Mashrafe Mortaza ",2001,2020,220,220,10922,8893,270,32.937037037037,4.88536898004029,40.4518518518518,"6/26",7,1
"Abdul Razzaq ",1996,2011,265,254,10941,8564,269,31.8364312267658,4.69646284617494,40.6728624535316,"6/35",8,3
"JM Anderson ",2002,2015,194,191,9584,7861,269,29.2230483271375,4.92132721202003,35.6282527881041,"5/23",11,2
"Harbhajan Singh ",1998,2015,236,227,12479,8973,269,33.3568773234201,4.31428800384646,46.3903345724907,"5/31",2,3
"M Ntini ",1998,2009,173,171,8687,6559,266,24.6578947368421,4.53021756647865,32.6578947368421,"6/22",8,4
"Shakib Al Hasan ",2006,2019,206,203,10517,7857,260,30.2192307692308,4.48245697442236,40.45,"5/29",8,2
"N Kapil Dev ",1978,1994,225,221,11202,6945,253,27.4505928853755,3.71987145152651,44.2766798418972,"5/43",3,1
"Shoaib Akhtar ",1998,2011,163,162,7764,6169,247,24.9757085020243,4.76738794435858,31.4331983805668,"6/16",6,4
"KD Mills ",2001,2015,170,169,8230,6485,240,27.0208333333333,4.72782503037667,34.2916666666667,"5/25",8,1
"MG Johnson ",2005,2015,153,150,7489,6038,239,25.2635983263598,4.83749499265589,31.3347280334728,"6/31",9,3
"HH Streak ",1993,2005,189,185,9468,7129,239,29.8284518828452,4.51774397972117,39.6150627615063,"5/32",7,1
"D Gough ",1994,2006,159,156,8470,6209,235,26.4212765957447,4.39834710743802,36.0425531914894,"5/44",10,2
"CA Walsh ",1985,2000,205,204,10822,6918,227,30.4757709251101,3.83552023655517,47.6740088105727,"5/1",6,1
"CEL Ambrose ",1988,2000,176,175,9353,5429,225,24.1288888888889,3.48273281300118,41.5688888888889,"5/17",6,4
"Abdur Razzak ",2004,2014,153,152,7965,6065,207,29.2995169082126,4.56873822975518,38.4782608695652,"5/29",5,4
"CZ Harris ",1990,2004,250,232,10667,7613,203,37.5024630541872,4.28217868191619,52.5467980295566,"5/42",2,1
"CJ McDermott ",1985,1996,138,138,7461,5018,203,24.7192118226601,4.03538399678327,36.7536945812808,"5/44",4,1
"CL Cairns ",1991,2006,215,186,8168,6594,201,32.8059701492537,4.8437806072478,40.636815920398,"5/42",3,1
"DJ Bravo ",2004,2014,164,150,6511,5874,199,29.5175879396985,5.41299339579174,32.7185929648241,"6/43",6,1
"KMDN Kulasekara ",2003,2017,184,181,8263,6751,199,33.9246231155779,4.90209367057969,41.5226130653266,"5/22",4,1
"BKV Prasad ",1994,2001,161,160,8129,6332,196,32.3061224489796,4.67363759379998,41.4744897959184,"5/27",3,1
"DW Steyn ",2005,2019,125,124,6256,5087,196,25.9540816326531,4.87883631713555,31.9183673469388,"6/39",4,3
"SR Waugh ",1986,2002,325,207,8883,6761,195,34.6717948717949,4.56670043904086,45.5538461538462,"4/33",3,0
"CL Hooper ",1987,2003,227,203,9573,6958,193,36.0518134715026,4.36101535568787,49.6010362694301,"4/34",3,0
"L Klusener ",1996,2004,171,164,7336,5751,192,29.953125,4.703653217012,38.2083333333333,"6/49",1,6
"TG Southee ",2008,2020,143,141,7195,6558,190,34.5157894736842,5.46879777623349,37.8684210526316,"7/33",4,3
"M Morkel ",2007,2018,117,114,5760,4761,188,25.3244680851064,4.959375,30.6382978723404,"5/21",7,2
"CRD Fernando ",2001,2012,147,141,6507,5648,187,30.2032085561497,5.20792992162287,34.7967914438503,"6/27",3,1
"RA Jadeja ",2009,2020,165,161,8377,6839,187,36.572192513369,4.8984123194461,44.7967914438503,"5/36",7,1
"Saeed Ajmal ",2008,2015,113,112,6000,4182,184,22.7282608695652,4.182,32.6086956521739,"5/24",6,2
"Aaqib Javed ",1988,1998,163,159,8012,5721,182,31.4340659340659,4.28432351472791,44.021978021978,"7/37",2,4
"Imran Khan ",1974,1992,175,153,7461,4844,182,26.6153846153846,3.89545637314033,40.9945054945055,"6/14",3,1
"Umar Gul ",2003,2016,130,128,6064,5253,179,29.3463687150838,5.19755936675462,33.877094972067,"6/42",4,2
"SCJ Broad ",2006,2016,121,121,6109,5364,178,30.1348314606742,5.26829268292683,34.3202247191011,"5/23",9,1
"MA Starc ",2010,2020,91,91,4648,3956,178,22.2247191011236,5.10671256454389,26.1123595505618,"6/28",11,7
"NW Bracken ",2001,2009,116,116,5759,4240,174,24.367816091954,4.41743358221914,33.0977011494253,"5/47",5,2
"Imran Tahir ",2011,2019,107,104,5541,4297,173,24.8381502890173,4.652950730915,32.028901734104,"7/45",7,3
"JDP Oram ",2001,2012,160,154,6911,5047,173,29.1734104046243,4.38171031688612,39.9479768786127,"5/26",3,2
"IK Pathan ",2004,2012,120,118,5855,5142,173,29.7225433526012,5.26934244235696,33.8439306358381,"5/27",5,2
"NLTC Perera ",2009,2020,164,155,5828,5668,172,32.953488372093,5.83527796842828,33.8837209302326,"6/44",5,4
"A Flintoff ",1999,2009,141,119,5624,4121,169,24.3846153846154,4.39651493598862,33.2781065088757,"5/19",6,2
"SR Watson ",2002,2015,190,163,6466,5342,168,31.797619047619,4.95700587689452,38.4880952380952,"4/36",3,0
"CH Gayle ",1999,2019,301,199,7424,5926,167,35.4850299401198,4.78933189655172,44.4550898203593,"5/46",3,1
"TA Boult ",2012,2020,90,90,4944,4148,164,25.2926829268293,5.03398058252427,30.1463414634146,"7/34",7,5
"Mushtaq Ahmed ",1989,2003,144,142,7543,5361,161,33.2981366459627,4.26435105395731,46.8509316770186,"5/36",3,1
"Sir RJ Hadlee ",1973,1990,115,112,6182,3407,158,21.5632911392405,3.306696861857,39.126582278481,"5/25",1,5
"Shoaib Malik ",1999,2019,287,217,7958,6192,158,39.1898734177215,4.66850967579794,50.3670886075949,"4/19",1,0
"MD Marshall ",1980,1992,136,134,7175,4233,157,26.9617834394904,3.53979094076655,45.7006369426752,"4/18",6,0
"A Nehra ",2001,2011,120,120,5751,4981,157,31.7261146496815,5.19666145018258,36.6305732484076,"6/23",5,2
"M Prabhakar ",1984,1996,130,127,6360,4534,157,28.8789808917197,4.27735849056604,40.5095541401274,"5/33",4,2
"GB Hogg ",1996,2008,123,113,5564,4188,156,26.8461538461538,4.51617541337168,35.6666666666667,"5/32",3,2
"SR Tendulkar ",1989,2012,463,270,8054,6850,154,44.4805194805195,5.10305438291532,52.2987012987013,"5/32",4,2
"BAW Mendis ",2008,2015,87,84,4154,3324,152,21.8684210526316,4.80115551275879,27.3289473684211,"6/13",7,3
"UDU Chandana ",1994,2007,147,136,6142,4818,151,31.9072847682119,4.70661022468251,40.6754966887417,"5/61",4,1
"R Ashwin ",2010,2017,111,109,6021,4937,150,32.9133333333333,4.9197807673144,40.14,"4/25",1,0
"SE Bond ",2002,2010,82,80,4295,3070,147,20.8843537414966,4.28870779976717,29.2176870748299,"6/19",7,4
"J Garner ",1977,1987,98,98,5330,2752,146,18.8493150684932,3.09793621013133,36.5068493150685,"5/31",2,3
"AU Rashid ",2009,2020,100,94,4911,4598,146,31.4931506849315,5.61759315821625,33.6369863013699,"5/27",7,2
"IT Botham ",1976,1992,116,115,6271,4139,145,28.5448275862069,3.96013394992824,43.248275862069,"4/31",3,0
"TM Odoyo ",1996,2014,136,129,5649,4335,145,29.8965517241379,4.60435475305364,38.9586206896552,"4/25",5,0
"Mohammed Shami ",2013,2020,77,76,3930,3661,144,25.4236111111111,5.58931297709924,27.2916666666667,"5/69",9,1
"CR Woakes ",2011,2020,101,97,4716,4384,143,30.6573426573427,5.57760814249364,32.979020979021,"6/45",9,3
"JN Gillespie ",1996,2005,97,96,5144,3611,142,25.4295774647887,4.21189735614308,36.2253521126761,"5/22",3,3
"MA Holding ",1976,1987,102,102,5473,3034,142,21.3661971830986,3.32614653754796,38.5422535211268,"5/26",5,1
"EJ Chatfield ",1979,1989,114,112,6065,3618,140,25.8428571428571,3.57922506183017,43.3214285714286,"5/34",3,1
"Mohammad Hafeez ",2003,2019,218,177,7733,5400,139,38.8489208633094,4.18983576878314,55.6330935251799,"4/41",1,0
"HDPK Dharmasena ",1994,2004,141,134,7009,4998,138,36.2173913043478,4.27849907262092,50.7898550724638,"4/37",1,0
"SB Styris ",1999,2011,188,161,6114,4839,137,35.3211678832117,4.74877330716389,44.6277372262774,"6/25",4,1
"JO Holder ",2013,2020,115,111,5347,4948,136,36.3823529411765,5.55227230222555,39.3161764705882,"5/27",4,2
"MF Maharoof ",2004,2016,109,105,4640,3789,135,28.0666666666667,4.89956896551724,34.3703703703704,"6/14",4,2
"LE Plunkett ",2005,2019,89,87,4137,4010,135,29.7037037037037,5.81580855692531,30.6444444444444,"5/52",6,1
"DW Fleming ",1994,2001,88,88,4619,3402,134,25.3880597014925,4.41913834163239,34.4701492537313,"5/36",4,1
"Rashid Khan ",2015,2019,71,67,3558,2467,133,18.5488721804511,4.1602023608769,26.7518796992481,"7/18",4,4
"A Symonds ",1998,2009,198,158,5935,4955,133,37.2556390977444,5.00926705981466,44.6240601503759,"5/18",2,1
"P Utseya ",2004,2015,164,160,8571,6239,133,46.9097744360902,4.3675183759188,64.4436090225564,"5/36",2,1
"Abdul Qadir ",1983,1993,104,100,5100,3454,132,26.1666666666667,4.06352941176471,38.6363636363636,"5/44",4,2
"B Kumar ",2012,2019,114,113,5451,4568,132,34.6060606060606,5.02806824435883,41.2954545454545,"5/42",4,1
"M Dillon ",1997,2005,108,107,5480,4218,130,32.4461538461538,4.61824817518248,42.1538461538462,"5/29",3,3
"Mohammad Nabi ",2009,2019,124,120,5919,4231,130,32.5461538461538,4.28890015205271,45.5307692307692,"4/30",3,0
"RJ Shastri ",1981,1992,150,136,6613,4650,129,36.046511627907,4.21896264932708,51.2635658914729,"5/15",2,1
"JE Taylor ",2003,2017,90,88,4341,3780,128,29.53125,5.22460262612301,33.9140625,"5/48",3,1
"DK Morrison ",1987,1996,96,95,4586,3470,126,27.5396825396825,4.53990405582207,36.3968253968254,"5/34",1,2
"Rubel Hossain ",2009,2019,101,99,4540,4300,126,34.1269841269841,5.68281938325991,36.031746031746,"6/26",7,1
"Mohammad Rafique ",1995,2007,125,124,6414,4739,125,37.912,4.43311506080449,51.312,"5/47",3,1
"KAJ Roach ",2008,2019,92,90,4459,3763,124,30.3467741935484,5.0634671450998,35.9596774193548,"6/27",3,3
"Azhar Mahmood ",1996,2007,143,139,6242,4813,123,39.130081300813,4.6264017942967,50.7479674796748,"6/18",2,3
