"Player","Start","End","Matches","Innings","Dismissals","Caught","CaughtFielder","CaughtBehind","Stumped","MaxDismissalsInnings"
"KC Sangakkara ",2000,2015,404,397,501,402,19,383,99,5
"AC Gilchrist ",1996,2008,287,286,472,417,0,417,55,6
"MS Dhoni ",2004,2019,350,345,444,321,0,321,123,6
"MV Boucher ",1998,2011,295,291,425,403,1,402,22,6
"Moin Khan ",1990,2004,219,217,287,214,0,214,73,5
"BB McCullum ",2002,2016,260,257,277,262,35,227,15,5
"IA Healy ",1988,1997,168,168,233,194,0,194,39,4
"Mushfiqur Rahim ",2006,2020,218,217,225,181,2,179,44,5
"Rashid Latif ",1992,2003,166,164,220,182,0,182,38,5
"DPMD Jayawardene ",1998,2015,448,443,218,218,218,0,0,4
"R Dravid ",1996,2011,344,341,210,196,124,72,14,4
"RS Kaluwitharana ",1990,2004,189,188,207,132,1,131,75,5
"PJL Dujon ",1981,1991,169,168,204,183,0,183,21,4
"JC Buttler ",2012,2019,142,138,202,171,0,171,31,6
"RD Jacobs ",1996,2004,147,145,189,160,0,160,29,6
"Kamran Akmal ",2002,2017,157,154,188,157,1,156,31,5
"D Ramdin ",2005,2016,139,137,188,181,0,181,7,5
"AB de Villiers ",2005,2018,228,223,181,176,83,93,5,5
"BJ Haddin ",2001,2015,126,124,181,170,0,170,11,5
"AJ Stewart ",1989,2003,170,169,174,159,11,148,15,6
"Q de Kock ",2013,2020,121,116,173,164,0,164,9,6
"A Flower ",1992,2003,213,212,173,141,8,133,32,5
"DJ Richardson ",1991,1998,122,121,165,148,0,148,17,5
"RT Ponting ",1995,2012,375,372,160,160,160,0,0,3
"M Azharuddin ",1985,2000,334,332,156,156,156,0,0,4
"NR Mongia ",1994,2000,140,139,154,110,0,110,44,5
"BRM Taylor ",2004,2020,196,196,154,125,29,96,29,5
"T Taibu ",2001,2012,150,150,147,114,2,112,33,4
"AC Parore ",1992,2002,179,178,141,116,5,111,25,5
"Sarfaraz Ahmed ",2007,2019,116,114,140,116,0,116,24,6
"SR Tendulkar ",1989,2012,463,456,140,140,140,0,0,4
"LRPL Taylor ",2006,2020,232,228,139,139,139,0,0,4
"Younis Khan ",2000,2015,265,260,135,135,130,5,0,4
"SP Fleming ",1994,2007,280,276,133,133,133,0,0,4
"JH Kallis ",1996,2014,328,324,131,131,131,0,0,3
"M Muralitharan ",1993,2011,350,347,130,130,130,0,0,3
